iter	Passed	Remaining
0	148	148612
1	156	77892
2	165	55108
3	172	42983
4	177	35355
5	186	30822
6	191	27148
7	199	24763
8	208	22989
9	222	22002
10	230	20710
11	233	19224
12	240	18223
13	248	17534
14	257	16896
15	262	16159
16	266	15409
17	272	14890
18	281	14531
19	292	14330
20	305	14223
21	318	14146
22	321	13657
23	330	13459
24	341	13302
25	346	12965
26	353	12732
27	364	12641
28	376	12592
29	389	12609
30	398	12447
31	401	12152
32	408	11984
33	412	11727
34	419	11566
35	432	11577
36	435	11335
37	445	11289
38	449	11073
39	452	10867
40	458	10735
41	467	10657
42	472	10523
43	476	10350
44	482	1022945	481	9985
4646	500	10147	47	509	1048	548	516	149	5149	522	50	5150	525	51	527	9619
52	5352	553	53	5353	554	553	9518
55	560	9449
56	568	9405
57	571	957	558	578	958	559	585	959	560	589	960	561	5986261	662	610	962	663	621	9088
64	621	864	665	644	9115
66	652	9081
67	669	9169
68	672	9075
69	677	9006
70	685	8964
71	697	8991
72	705	8956
73	709	873	717	8977574	727	8970
75	738	8977776	777	74078	74678	7537978	771	8998079	784	9019
80	793	9001
81	799	8958382	807	89284	807	8692
85	815	8667
8685	826	8788786	835	8768887	845	8758988	852	8729089	863	87291	870	8595
9291	898	8867
92	908	8862
93	913	88095	912	8596
96	917	8544
9796	930	8669897	937	86299	936	8424
100	954	8499
101	965	8498
102	978	8519
103	989	8528
104	997	8501
105	1010	8525
106	1033	8628
107	1046	8645
108	1061	8677
109	1067	8635
110	1072	8592
111	1086	8617
112	1097	8612
113	1103	8580
114	1113	8566
115	1122	8554
116	1131	8538
117	1136	8494
118	1148	8501
119	1155	8472
120	1168	8487
121	1182	8509
122	1197	8537
123	1209	8544
124	1224	8570
125	1238	8587
126	1247	8575
127	1265	8624
128	1275	8609
129	1281	8575
130	1289	8557
131	1304	8579
132	1320	8606
133	1326	8575
134	1342	8604
135	1362	8658
136	1371	8636
137	1377	8602
138	1388	8602
139	1401	8609
140	1411	8600
141	1414	8548
142	1430	8571
143	1440	8565
144	1453	8570
145	1465	8574
146	1470	8534
147	1478	8509
148	1482	8464
149	1501	8507
150	1532	8614
151	1560	8707
152	1569	8686
153	1589	8730
154	1596	8701
155	1611	8718
156	1614	8670
157	1621	8643
158	1625	8598
159	1639	8609
160	1658	8643
161	1675	8666
162	1690	8679
163	1698	8659
164	1706	8637
165	1710	8593
166	1717	8569
167	1729	8567
168	1734	8530
169	1741	8502
170	1745	8464
171	1749	8420
172	1761	8421
173	1770	8403
174	1776	8373
175	1785	8359
176	1788	8316
177	1793	8282
178	1801	8261
179	1810	8247
180	1816	8217
181	1822	8191
182	1832	8179
183	1835	8138
184	1840	8106
185	1843	8067
186	1855	8065
187	1860	8037
188	1868	8018
189	1873	7989
190	1888	7998
191	1897	7987
192	1904	7962
193	1907	7925
194	1919	7925
195	1928	7909
196	1933	7882
197	1945	7881
198	1952	7860
199	1963	7852
200	1971	7835
201	1974	7801
202	1989	7809
203	1992	7774
204	1999	7755
205	2008	7741
206	2013	7714
207	2017	7680
208	2020	7647
209	2025	7621
210	2038	7623
211	2042	7590
212	2050	7577
213	2056	7553
214	2062	7529
215	2070	7516
216	2074	7484
217	2080	7464
218	2085	7437
219	2098	7440
220	2104	7416
221	2112	7404
222	2122	7394
223	2125	7362
224	2129	7336
225	2141	7333
226	2144	7302
227	2149	7277
228	2152	7247
229	2158	7226
230	2164	7205
231	231	2169	7232	232	2181	7181
233	2188	7234	234	2195	7235	235	2198	7236	2204	7096
237	237	2214	7238	2223	7081
239	239	2233	7240	2241	7058
241	2247	7039
242	242	2249	7243	243	2259	6244	2268	6990
245	245	2272	6246	2279	6948
247	2284	6925
248	2296	6926
249	2304	6913
250	2311	6896
251	2315	6871
252	2319	6849
253	2330	6845
254	2334	6820
255	255	2338	6256	256	2344	6257	2358	6782
258	2367	6774
259	2371	6749
260	2377	6731
261	261	2394	6744
262	2400	6725
263	2407	6264	264	2414	6265	2421	6680
266	2426	6660
267	2432	6643
268	2435	6617
269	2445	6611
270	2449	6590
271	2465	6598
272	2469	6576
273	2475	6558
274	2486	6555
275	2494	6542
276	2498	6520
277	2503	6500
278	2511	6490
279	2516	6472
280	2524	6458
281	2539	6465
282	2546	6450
283	2554	6439
284	2574	6458
285	2580	6443
286	2594	6446
287	2606	6442
288	2615	6433
289	2621	6417
290	2625	6396
291	2635	6390
292	2640	6371
293	2653	6372
294	2665	6369
295	2674	6360
296	2686	6358
297	2694	6348
298	2704	6340
299	2711	6326
300	2727	6333
301	2736	6325
302	2747	6319
303	2750	6297
304	2753	6274
305	2763	6268
306	2769	6250
307	2777	6239
308	2782	6222
309	2799	6230
310	2806	6217
311	2823	6225
312	2832	6217
313	2846	6218
314	2849	6196
315	2864	6201
316	2873	6192
317	2881	6179
318	2884	6157
319	2896	6154
320	2908	6151
321	2912	6132
322	2919	6119
323	2929	6112
324	2932	6091
325	2936	6070
326	2943	6058
327	2947	6037
328	2954	6025
329	2957	6004
330	2960	5983
331	2966	5969
332	2970	5949
333	2980	5943
334	2987	5929
335	2995	5919
336	3009	5921
337	3018	5911
338	3022	5894
339	3032	5886
340	3039	5873
341	3051	5870
342	3057	5856
343	3068	5850
344	3075	5839
345	3084	5831
346	3089	5813
347	3100	5808
348	3108	5797
349	3117	5790
350	3120	5770
351	3135	5772
352	3138	5752
353	3145	5740
354	3156	5734
355	3165	5727
356	3176	5721
357	3179	5702
358	3182	5682
359	3191	5674
360	3202	5668
361	3212	5661
362	3221	5653
363	3230	5644
364	3239	5635
365	3255	5638
366	3269	5639
367	3281	5636
368	3286	5619
369	3292	5605
370	3305	5604
371	3311	5590
372	3319	5580
373	3322	5561
374	3325	5543
375	3328	5524
376	3336	5513
377	3344	5503
378	3352	5492
379	3356	5476
380	3363	5464
381	3377	5464
382	3380	5445
383	3395	5446
384	3406	5442
385	3422	5443
386	3429	5432
387	3444	5433
388	3449	5418
389	3453	5400
390	3460	5389
391	3475	5390
392	3488	5387
393	3491	5369
394	3494	5352
395	3497	5334
396	3508	5328
397	3515	5317
398	3522	5305
399	3525	5288
400	3537	5284
401	3544	5271
402	3556	5267
403	3572	5269
404	3582	5263
405	3590	5253
406	3604	5251
407	3607	5234
408	3615	5224
409	3623	5214
410	3631	5204
411	3637	5191
412	3648	5185
413	3656	5176
414	3659	5159
415	3667	5149
416	3675	5138
417	3678	5121
418	3688	5115
419	3692	5098
420	3695	5082
421	3706	5076
422	3713	5064
423	3730	5067
424	3741	5061
425	3744	5045
426	3754	5038
427	3760	5026
428	3767	5014
429	3775	5005
430	3782	4993
431	3789	4982
432	3794	4969
433	3801	4958
434	3814	4954
435	3828	4952
436	3844	4952
437	3854	4945
438	3862	4936
439	3874	4931
440	3887	4927
441	3896	4919
442	3907	4912
443	3920	4909
444	3927	4898
445	3933	4885
446	3950	4886
447	3956	4874
448	3968	4869
449	3982	4867
450	3998	4867
451	4015	4868
452	4024	4859
453	4028	4844
454	4038	4836
455	4051	4833
456	4058	4822
457	4065	4811
458	4090	4821
459	4095	4808
460	4102	4797
461	4113	4790
462	4119	4778
463	4126	4767
464	4135	4758
465	4147	4752
466	4167	4755
467	4178	4749
468	4184	4737
469	4189	4724
470	4196	4713
471	4206	4705
472	4212	4693
473	4223	4687
474	4236	4681
475	4251	4680
476	4261	4672
477	4267	4659
478	4280	4655
479	4290	4647
480	4298	4638
481	4307	4629
482	4317	4621
483	4330	4616
484	4345	4614
485	4353	4603
486	4358	4591
487	4369	4584
488	4376	4573
489	4386	4565
490	4392	4554
491	4401	4544
492	4406	4531
493	4409	4517
494	4417	4507
495	4425	4496
496	4431	4484
497	4435	4470
498	4441	4459
499	4452	4452
500	4455	4437
501	4458	4422
502	4463	4409
503	4467	4396
504	4479	4390
505	4488	4381
506	4494	4370
507	4511	4368
508	4513	4354
509	4518	4341
510	4524	4329
511	4530	4318
512	4537	4307
513	4546	4299
514	4552	4286
515	4556	4273
516	4561	4261
517	4564	4247
518	4570	4235
519	4578	4226
520	4584	4214
521	4586	4200
522	4596	4191
523	4601	4179
524	4609	4170
525	4617	4161
526	4622	4149
527	4633	4141
528	4643	4134
529	4651	4124
530	4658	4114
531	4668	4106
532	4674	4095
533	4679	4083
534	4688	4074
535	4697	4066
536	4702	4054
537	4706	4041
538	4712	4030
539	4721	4022
540	4726	4010
541	4729	3996
542	4732	3982
543	4737	3970
544	4747	3963
545	4754	3953
546	4759	3941
547	4765	3930
548	4772	3920
549	4783	3913
550	4788	3902
551	4795	3891
552	4804	3883
553	4813	3874
554	4816	3861
555	4824	3852
556	4829	3841
557	4841	3834
558	4846	3823
559	4856	3815
560	4864	3806
561	4869	3795
562	4875	3784
563	4879	3771
564	4882	3758
565	4888	3748
566	4898	3740
567	4902	3728
568	4907	3717
569	4911	3704
570	4919	3695
571	4924	3685
572	4930	3674
573	4935	3662
574	4943	3653
575	4951	3644
576	4958	3634
577	4964	3624
578	4971	3615
579	4977	3604
580	4980	3591
581	4990	3584
582	4997	3574
583	5008	3567
584	5014	3557
585	5024	3549
586	5027	3536
587	5036	3529
588	5039	3516
589	5044	3505
590	5053	3497
591	5057	3485
592	5069	3479
593	5076	3470
594	5088	3463
595	5094	3453
596	5105	3446
597	5112	3436
598	5117	3425
599	5124	3416
600	5128	3404
601	5139	3397
602	5150	3391
603	5160	3383
604	5171	3376
605	5176	3365
606	5184	3356
607	5187	3344
608	5193	3334
609	5202	3325
610	5206	3314
611	5217	3307
612	5224	3298
613	5232	3289
614	5239	3280
615	5245	3269
616	5262	3266
617	5269	3257
618	5272	3245
619	5281	3236
620	5285	3226
621	5288	3214
622	5296	3204
623	5301	3194
624	5304	3182
625	5307	3171
626	5311	3159
627	5317	3149
628	5331	3144
629	5337	3134
630	5349	3128
631	5357	3119
632	5362	3108
633	5369	3099
634	5374	3089
635	5381	3079
636	5386	3069
637	5392	3059
638	5402	3052
639	5410	3043
640	5418	3034
641	5423	3024
642	5431	3015
643	5441	3008
644	5445	2997
645	5456	2990
646	5463	2980
647	5467	2970
648	5473	2960
649	5477	2949
650	5481	2938
651	5490	2930
652	5493	2919
653	5498	2909
654	5501	2897
655	5508	2888
656	5513	2878
657	5527	2873
658	5532	2862
659	5537	2852
660	5543	2843
661	5548	2832
662	5554	2823
663	5558	2812
664	5566	2803
665	5573	2794
666	5583	2787
667	5590	2778
668	5599	2770
669	5606	2761
670	5609	2750
671	5612	2739
672	5617	2729
673	5621	2718
674	5630	2710
675	5633	2699
676	5643	2692
677	5647	2682
678	5652	2672
679	5661	2664
680	5668	2655
681	5680	2648
682	5686	2639
683	5701	2634
684	5707	2624
685	5717	2616
686	5723	2607
687	5731	2598
688	5738	2590
689	5746	2581
690	5752	2572
691	5757	2562
692	5766	2554
693	5769	2543
694	5776	2534
695	5781	2525
696	5790	2517
697	5798	2508
698	5801	2498
699	5809	2489
700	5813	2479
701	5821	2471
702	5825	2461
703	5831	2452
704	5840	2444
705	5845	2434
706	5863	2429
707	5867	2420
708	5875	2411
709	5882	2402
710	5886	2392
711	5893	2383
712	5895	2372
713	5904	2365
714	5911	2356
715	5920	2348
716	5933	2341
717	5939	2332
718	5944	2323
719	5950	2314
720	5961	2306
721	5966	2297
722	5973	2288
723	5978	2279
724	5987	2271
725	5994	2262
726	5997	2252
727	6007	2244
728	6015	2236
729	6029	2230
730	6036	2221
731	6041	2211
732	6045	2202
733	6048	2191
734	6055	2183
735	6058	2173
736	6073	2167
737	6082	2159
738	6087	2149
739	6090	2139
740	6097	2131
741	6105	2122
742	6108	2113
743	6112	2103
744	6119	2094
745	6125	2085
746	6136	2078
747	6141	2068
748	6148	2060
749	6154	2051
750	6161	2043
751	6165	2033
752	6175	2025
753	6181	2016
754	6188	2008
755	6193	1998
756	6197	1989
757	6200	1979
758	6204	1970
759	6207	1960
760	6215	1951
761	6219	1942
762	6225	1933
763	6233	1925
764	6240	1916
765	6245	1907
766	6248	1898
767	6254	1889
768	6260	1880
769	6265	1871
770	6273	1863
771	6283	1855
772	6287	1846
773	6298	1839
774	6303	1830
775	6307	1820
776	6316	1812
777	6326	1805
778	6335	1797
779	6338	1787
780	6343	1778
781	6349	1770
782	6356	1761
783	6365	1753
784	6369	1744
785	6373	1735
786	6382	1727
787	6386	1718
788	6390	1709
789	6395	1699
790	6401	1691
791	6407	1682
792	6415	1674
793	6419	1665
794	6422	1656
795	6434	1649
796	6445	1641
797	6452	1633
798	6460	1625
799	6466	1616
800	6471	1607
801	6476	1598
802	6480	1589
803	6484	1580
804	6491	1572
805	6495	1563
806	6507	1556
807	6519	1549
808	6523	1540
809	6532	1532
810	6538	1523
811	6541	1514
812	6545	1505
813	6555	1497
814	6558	1488
815	6565	1480
816	6573	1472
817	6580	1464
818	6585	1455
819	6590	1446
820	6595	1438
821	6601	1429
822	6609	1421
823	6618	1413
824	6620	1404
825	6628	1396
826	6637	1388
827	6643	1380
828	6648	1371
829	6657	1363
830	6666	1355
831	6673	1347
832	6680	1339
833	6686	1330
834	6691	1322
835	6698	1314
836	6703	1305
837	6707	1296
838	6711	1287
839	6715	1279
840	6720	1270
841	6725	1262
842	6728	1253
843	6732	1244
844	6738	1236
845	6744	1227
846	6748	1219
847	6753	1210
848	6760	1202
849	6766	1194
850	6770	1185
851	6774	1176
852	6781	1168
853	6786	1160
854	6789	1151
855	6793	1142
856	6798	1134
857	6802	1125
858	6809	1117
859	6814	1109
860	6817	1100
861	6822	1092
862	6829	1084
863	6834	1075
864	6842	1067
865	6845	1059
866	6848	1050
867	6856	1042
868	6859	1034
869	6863	1025
870	6869	1017
871	6876	1009
872	6881	1001
873	6885	992
874	6889	984
875	6893	975
876	6897	967
877	6902	959
878	6909	951
879	6912	942
880	6917	934
881	6922	926
882	6926	917
883	6930	909
884	6934	901
885	6938	892
886	6945	884
887	6948	876
888	6953	868
889	6958	860
890	6963	851
891	6966	843
892	6969	835
893	6975	827
894	6978	818
895	6983	810
896	6987	802
897	6998	794
898	7003	786
899	7012	779
900	7020	771
901	7028	763
902	7033	755
903	7039	747
904	7047	739
905	7050	731
906	7056	723
907	7064	715
908	7071	707
909	7080	700
910	7087	692
911	7091	684
912	7101	676
913	7113	669
914	7119	661
915	7125	653
916	7133	645
917	7139	637
918	7144	629
919	7155	622
920	7158	614
921	7165	606
922	7168	598
923	7177	590
924	7186	582
925	7191	574
926	7197	566
927	7206	559
928	7211	551
929	7217	543
930	7227	535
931	7238	528
932	7255	521
933	7266	513
934	7272	505
935	7277	497
936	7281	489
937	7284	481
938	7288	473
939	7292	465
940	7297	457
941	7303	449
942	7308	441
943	7313	433
944	7316	425
945	7319	417
946	7324	409
947	7327	401
948	7329	393
949	7336	386
950	7340	378
951	7347	370
952	7350	362
953	7357	354
954	7361	346
955	7373	339
956	7377	331
957	7380	323
958	7383	315
959	7387	307
960	7392	299
961	7398	292
962	7401	284
963	7404	276
964	7407	268
965	7411	260
966	7414	253
967	7419	245
968	7422	237
969	7426	229
970	7429	221
971	7432	214
972	7437	206
973	7439	198
974	7442	190
975	7446	183
976	7449	175
977	7453	167
978	7457	159
979	7460	152
980	7463	144
981	7466	136
982	7469	129
983	7473	121
984	7476	113
985	7479	106
986	7483	98
987	7486	90
988	7488	83
989	7492	75
990	7496	68
991	7500	60
992	7503	52
993	7507	45
994	7511	37
995	7514	30
996	7517	22
997	7519	15
998	7522	7
999	7525	0
16	0
7469	0
